PassengerId,Survived,Pclass,Sex,Age,Siblings,Parch,Fare
515,0,3,1,24,0,0,7.4958
566,0,3,1,24,2,0,24.15
656,0,2,1,24,2,0,73.5
744,0,3,1,24,1,0,16.1
771,0,3,1,24,0,0,9.5
865,0,2,1,24,0,0,13
677,0,3,1,24.5,0,0,8.05
76,0,3,1,25,0,0,7.65
135,0,2,1,25,0,0,13
247,0,3,0,25,0,0,7.775
344,0,2,1,25,0,0,13
354,0,3,1,25,1,0,17.8
443,0,3,1,25,1,0,7.775
499,0,1,0,25,1,2,151.55
667,0,2,1,25,0,0,13
686,0,2,1,25,1,2,41.5792
694,0,3,1,25,0,0,7.225
704,0,3,1,25,0,0,7.7417
729,0,2,1,25,1,0,26
730,0,3,0,25,1,0,7.925
785,0,3,1,25,0,0,7.05
786,0,3,1,25,0,0,7.25
795,0,3,1,25,0,0,7.8958
885,0,3,1,25,0,0,7.05
70,0,3,1,26,2,0,8.6625
74,0,3,1,26,1,0,14.4542
94,0,3,1,26,1,2,20.575
163,0,3,1,26,0,0,7.775
313,0,2,0,26,1,1,26
402,0,3,1,26,0,0,8.05
618,0,3,0,26,1,0,16.1
620,0,2,1,26,0,0,10.5
629,0,3,1,26,0,0,7.8958
705,0,3,1,26,1,0,7.8542
811,0,3,1,26,0,0,7.8875
871,0,3,1,26,0,0,7.8958
42,0,2,0,27,1,0,21
222,0,2,1,27,0,0,13
322,0,3,1,27,0,0,7.8958
378,0,1,1,27,0,2,211.5
552,0,2,1,27,0,0,26
621,0,3,1,27,1,0,14.4542
887,0,2,1,27,0,0,13
35,0,1,1,28,1,0,82.1708
84,0,1,1,28,0,0,47.1
101,0,3,0,28,0,0,7.8958
106,0,3,1,28,0,0,7.8958
170,0,3,1,28,0,0,56.4958
201,0,3,1,28,0,0,9.5
282,0,3,1,28,0,0,7.8542
314,0,3,1,28,0,0,7.8958
343,0,2,1,28,0,0,13
356,0,3,1,28,0,0,9.5
393,0,3,1,28,2,0,7.925
404,0,3,1,28,1,0,15.85
424,0,3,0,28,1,1,14.4
509,0,3,1,28,0,0,22.525
563,0,2,1,28,0,0,13.5
757,0,3,1,28,0,0,7.7958
849,0,2,1,28,0,1,33
884,0,2,1,28,0,0,10.5
58,0,3,1,28.5,0,0,7.2292
736,0,3,1,28.5,0,0,16.1
91,0,3,1,29,0,0,8.05
118,0,2,1,29,1,0,21
232,0,3,1,29,0,0,7.775
243,0,2,1,29,0,0,10.5
252,0,3,0,29,1,1,10.4625
337,0,1,1,29,1,0,66.6
362,0,2,1,29,1,0,27.7208
423,0,3,1,29,0,0,7.875
478,0,3,1,29,1,0,7.0458
568,0,3,0,29,0,4,21.075
714,0,3,1,29,0,0,9.4833
783,0,1,1,29,0,0,30
158,0,3,1,30,0,0,8.05
179,0,2,1,30,0,0,13
214,0,2,1,30,0,0,13
220,0,2,1,30,0,0,10.5
245,0,3,1,30,0,0,7.225
254,0,3,1,30,1,0,16.1
309,0,2,1,30,1,0,24
366,0,3,1,30,0,0,7.25
419,0,2,1,30,0,0,13
453,0,1,1,30,0,0,27.75
489,0,3,1,30,0,0,8.05
535,0,3,0,30,0,0,8.6625
607,0,3,1,30,0,0,7.8958
799,0,3,1,30,0,0,7.2292
800,0,3,0,30,1,1,24.15
768,0,3,0,30.5,0,0,7.75
815,0,3,1,30.5,0,0,8.05
19,0,3,0,31,1,0,18
397,0,3,0,31,0,0,7.8542
440,0,2,1,31,0,0,10.5
638,0,2,1,31,1,1,26.25
672,0,1,1,31,1,0,52
750,0,3,1,31,0,0,7.75
806,0,3,1,31,0,0,7.775
818,0,2,1,31,1,1,37.0042
868,0,1,1,31,0,0,50.4958
71,0,2,1,32,0,0,10.5
207,0,3,1,32,1,0,15.85
383,0,3,1,32,0,0,7.925
520,0,3,1,32,0,0,7.8958
637,0,3,1,32,0,0,7.925
658,0,3,0,32,1,1,15.5
666,0,2,1,32,2,0,73.5
770,0,3,1,32,0,0,8.3625
891,0,3,1,32,0,0,7.75
123,0,2,1,32.5,1,0,30.0708
104,0,3,1,33,0,0,8.6542
131,0,3,1,33,0,0,7.8958
240,0,2,1,33,0,0,12.275
286,0,3,1,33,0,0,8.6625
549,0,3,1,33,1,1,20.525
720,0,3,1,33,0,0,7.775
753,0,3,1,33,0,0,9.5
873,0,1,1,33,0,0,5
882,0,3,1,33,0,0,7.8958
100,0,2,1,34,1,0,26
203,0,3,1,34,0,0,6.4958
406,0,2,1,34,1,0,21
462,0,3,1,34,0,0,8.05
477,0,2,1,34,1,0,21
617,0,3,1,34,1,1,14.4
723,0,2,1,34,0,0,13
759,0,3,1,34,0,0,8.05
801,0,2,1,34,0,0,13
844,0,3,1,34.5,0,0,6.4375
5,0,3,1,35,0,0,8.05
21,0,2,1,35,0,0,26
364,0,3,1,35,0,0,7.05
591,0,3,1,35,0,0,7.125
615,0,3,1,35,0,0,8.05
813,0,2,1,35,0,0,10.5
848,0,3,1,35,0,0,7.8958
180,0,3,1,36,0,0,0
190,0,3,1,36,0,0,7.8958
266,0,2,1,36,0,0,10.5
293,0,2,1,36,0,0,12.875
345,0,2,1,36,0,0,13
451,0,2,1,36,1,2,27.75
584,0,1,1,36,0,0,40.125
596,0,3,1,36,1,1,24.15
606,0,3,1,36,1,0,15.55
664,0,3,1,36,0,0,7.4958
742,0,1,1,36,1,0,78.85
149,0,2,1,36.5,0,2,26
105,0,3,1,37,2,0,7.925
138,0,1,1,37,1,0,53.1
274,0,1,1,37,0,1,29.7
504,0,3,0,37,0,0,9.5875
595,0,2,1,37,1,0,26
109,0,3,1,38,0,0,7.8958
333,0,1,1,38,0,1,153.4625
358,0,2,0,38,0,0,13
466,0,3,1,38,0,0,7.05
472,0,3,1,38,0,0,8.6625
823,0,1,1,38,0,0,0
14,0,3,1,39,1,5,31.275
529,0,3,1,39,0,0,7.925
611,0,3,0,39,1,5,31.275
706,0,2,1,39,0,0,26
796,0,2,1,39,0,0,13
807,0,1,1,39,0,0,0
809,0,2,1,39,0,0,13
812,0,3,1,39,0,0,24.15
886,0,3,0,39,0,5,29.125
31,0,1,1,40,0,0,27.7208
41,0,3,0,40,1,0,9.475
189,0,3,1,40,1,1,15.5
264,0,1,1,40,0,0,0
361,0,3,1,40,1,4,27.9
562,0,3,1,40,0,0,7.8958
662,0,3,1,40,0,0,7.225
154,0,3,1,40.5,0,2,14.5
526,0,3,1,40.5,0,0,7.75
255,0,3,0,41,0,2,20.2125
639,0,3,0,41,0,5,39.6875
762,0,3,1,41,0,0,7.125
861,0,3,1,41,2,0,14.1083
36,0,1,1,42,1,0,52
150,0,2,1,42,0,0,13
198,0,3,1,42,0,1,8.4042
218,0,2,1,42,1,0,27
350,0,3,1,42,0,0,8.6625
700,0,3,1,42,0,0,7.65
846,0,3,1,42,0,0,7.55
315,0,2,1,43,1,1,26.25
669,0,3,1,43,0,0,8.05
679,0,3,0,43,1,6,46.9
819,0,3,1,43,0,0,6.45
161,0,3,1,44,0,1,16.1
237,0,2,1,44,1,0,26
246,0,1,1,44,2,0,90
604,0,3,1,44,0,0,8.05
697,0,3,1,44,0,0,8.05
855,0,2,0,44,1,0,26
63,0,1,1,45,1,0,83.475
130,0,3,1,45,0,0,6.975
168,0,3,0,45,1,4,27.9
277,0,3,0,45,0,0,7.75
340,0,1,1,45,0,0,35.5
363,0,3,0,45,0,1,14.4542
537,0,1,1,45,0,0,26.55
204,0,3,1,45.5,0,0,7.225
332,0,1,1,45.5,0,0,28.5
93,0,1,1,46,1,0,61.175
398,0,2,1,46,0,0,26
790,0,1,1,46,0,0,79.2
111,0,1,1,47,0,0,52
133,0,3,0,47,1,0,14.5
463,0,1,1,47,0,0,38.5
516,0,1,1,47,0,0,34.0208
587,0,2,1,47,0,0,15
593,0,3,1,47,0,0,7.25
663,0,1,1,47,0,0,25.5875
874,0,3,1,47,0,0,9
464,0,2,1,48,0,0,13
737,0,3,0,48,1,3,34.375
772,0,3,1,48,0,0,7.8542
598,0,3,1,49,0,0,0
699,0,1,1,49,1,1,110.8833
178,0,1,0,50,0,0,28.7125
435,0,1,1,50,1,0,55.9
483,0,3,1,50,0,0,8.05
545,0,1,1,50,1,0,106.425
724,0,2,1,50,0,0,13
151,0,2,1,51,0,0,12.525
156,0,1,1,51,0,1,61.3792
223,0,3,1,51,0,0,8.05
407,0,3,1,51,0,0,7.75
632,0,3,1,51,0,0,7.0542
263,0,1,1,52,1,1,79.65
696,0,2,1,52,0,0,13.5
715,0,2,1,52,0,0,13
7,0,1,1,54,0,0,51.8625
125,0,1,1,54,0,1,77.2875
250,0,2,1,54,1,0,26
318,0,2,1,54,0,0,14
583,0,2,1,54,0,0,26
493,0,1,1,55,0,0,30.5
153,0,3,1,55.5,0,0,8.05
175,0,1,1,56,0,0,30.6958
468,0,1,1,56,0,0,26.55
627,0,2,1,57,0,0,12.35
773,0,2,0,57,0,0,10.5
488,0,1,1,58,0,0,29.7
660,0,1,1,58,0,2,113.275
95,0,3,1,59,0,0,7.25
233,0,2,1,59,0,0,13.5
685,0,2,1,60,1,1,39
695,0,1,1,60,0,0,26.55
171,0,1,1,61,0,0,33.5
327,0,3,1,61,0,0,6.2375
626,0,1,1,61,0,0,32.3208
253,0,1,1,62,0,0,26.55
556,0,1,1,62,0,0,26.55
439,0,1,1,64,1,4,263
546,0,1,1,64,0,0,26
55,0,1,1,65,0,1,61.9792
281,0,3,1,65,0,0,7.75
457,0,1,1,65,0,0,26.55
34,0,2,1,66,0,0,10.5
673,0,2,1,70,0,0,10.5
746,0,1,1,70,1,1,71
117,0,3,1,70.5,0,0,7.75
97,0,1,1,71,0,0,34.6542
494,0,1,1,71,0,0,49.5042
852,0,3,1,74,0,0,7.775
